id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
265661;28/01/2020;terça-feira;14:15:00;MG;40;469;SETE LAGOAS;Pista Escorregadia;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Curva;Não;2;0;2;0;0;0;2;1;-19,46099;-44,30122;SR-MG;DEL4/2;UOP01/MG
265663;28/01/2020;terça-feira;08:07:00;RN;304;296;MACAIBA;Pista Escorregadia;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Não Informado;Sim;3;0;0;0;3;0;0;3;-5,864849;-35,34931;SR-RN;DEL15/1;UOP02/RN
265667;04/01/2020;sábado;07:40:00;PR;116;17;CAMPINA GRANDE DO SUL;Pista Escorregadia;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Curva;Não;1;0;1;0;0;0;1;1;-25,10306;-48,70104;SR-PR;DEL7/1;UOP02/PR
265668;28/01/2020;terça-feira;14:41:00;GO;40;8;VALPARAISO DE GOIAS;Falta de Atenção à Condução;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-16,11616;-47,96761;SR-DF;UOP01/DF;
265669;28/01/2020;terça-feira;14:00:00;SP;116;223;GUARULHOS;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Reta;Sim;2;0;1;0;1;0;1;2;-23,4756;-46,52466;SR-SP;DEL6/1;UOP01/SP
265670;28/01/2020;terça-feira;14:50:00;RJ;116;175;NOVA IGUACU;Desobediência às normas de trânsito pelo condutor;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;1;0;1;0;0;0;1;1;-22,78924;-43,37275;SR-RJ;DEL5/1;UOP02/RJ
265671;28/01/2020;terça-feira;14:50:00;MG;459;21,9;CALDAS;Condutor Dormindo;Colisão com objeto estático;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Ponte;Não;6;0;1;0;5;0;1;3;-21,87659;-46,38629;SR-MG;DEL09;UOP04/MG
265672;28/01/2020;terça-feira;14:45:00;MG;50;96;UBERLANDIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Fatais;Pleno dia;Decrescente;Nublado;Dupla;Não Informado;Não;2;1;0;0;1;0;0;2;-19,10114;-48,1811;SR-MG;DEL4/15;UOP01/MG
265674;28/01/2020;terça-feira;14:05:00;MG;40;532,8;BELO HORIZONTE;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Não Informado;Sim;2;0;1;0;1;0;1;2;-19,92373;-44,01701;SR-MG;DEL4/1;UOP02/MG
265675;28/01/2020;terça-feira;15:10:00;PR;467;99,4;CASCAVEL;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Curva;Não;1;0;0;1;0;0;1;1;-24,8931;-53,5442;SR-PR;DEL7/4;UOP06/PR
265676;28/01/2020;terça-feira;09:50:00;MG;381;477,2;CONTAGEM;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-19,95733;-44,02893;SR-MG;DEL4/1;UOP03/MG
265677;28/01/2020;terça-feira;14:25:00;GO;60;433;RIO VERDE;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;2;0;1;0;1;0;1;2;-17,8291;-51,3566;SR-GO;DEL1/4;UOP01/GO
265678;28/01/2020;terça-feira;15:30:00;MG;153;245;FRONTEIRA;Falta de Atenção à Condução;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Interseção de vias;Sim;3;0;2;0;1;0;2;2;-20,29121;-49,20233;SR-MG;DEL13;UOP02/MG
265679;28/01/2020;terça-feira;14:30:00;MT;163;639;NOVA MUTUM;Falta de Atenção à Condução;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1;0;1;0;0;0;1;1;-13,56663;-56,02891;SR-MT;DEL2/4;UOP01/MT
265680;28/01/2020;terça-feira;12:20:00;SC;116;267,7;CAPAO ALTO;Defeito Mecânico no Veículo;Tombamento;Com Vítimas Fatais;Pleno dia;Decrescente;Nublado;Simples;Interseção de vias;Não;1;1;0;0;0;0;0;1;-27,95617;-50,48416;SR-SC;DEL8/5;UOP02/SC
265681;28/01/2020;terça-feira;15:20:00;RJ;493;4,6;ITABORAI;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;3;0;2;0;1;0;2;2;-22,74277;-42,95301;SR-RJ;DEL5/2;UOP01/RJ
265682;28/01/2020;terça-feira;15:20:00;SP;116;211;GUARULHOS;Defeito Mecânico no Veículo;Colisão com objeto estático;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Reta;Sim;3;0;1;0;2;0;1;2;-23,43243;-46,41944;SR-SP;DEL6/1;UOP01/SP
265684;28/01/2020;terça-feira;15:20:00;RS;116;264;CANOAS;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Não;2;0;1;0;1;0;1;2;-29,91444;-51,17754;SR-RS;DEL9/1;UOP01/RS
265686;28/01/2020;terça-feira;06:40:00;AM;319;693;HUMAITA;Falta de Atenção à Condução;Saída de leito carroçável;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Simples;Reta;Não;3;0;2;1;0;0;3;1;-7,679187;-63,08163;SR-RO;DEL21/01;UOP03/RO
